ORIGIN,DESTINATION,FREQUENCY,FLIGHT NO,DEPARTURE,ARRIVAL,VIA,EFFECTIVE FROM,EFFECTIVE TILL,Remarks
DELHI,BENGALURU,Daily,SG 501,06:05 AM,08:55 AM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,BENGALURU,Daily,SG 209,04:15 PM,07:00 PM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,BENGALURU,Daily,SG 223,07:35 PM,10:15 PM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,BENGALURU,Daily,SG 448,09:45 PM,12:15 AM,Direct,26-Oct-2014,28-Mar-2015,Next Day
DELHI,BENGALURU,FIRST AND THIRD Sunday OF EVERY MONTH,SG 514,12:55 PM,03:35 PM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,CHENNAI,Daily,SG 301,06:35 AM,09:25 AM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,CHENNAI,Daily,SG 305,08:30 AM,11:20 AM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,CHENNAI,Daily,SG 315,05:05 PM,07:55 PM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,CHENNAI,"Wednesday, Friday, Sunday",SG 219,06:05 PM,10:20 PM,PUNE,26-Oct-2014,28-Mar-2015,
DELHI,CHENNAI,Daily,SG 309,07:15 PM,09:55 PM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,HYDERABAD,Daily,SG 235,06:05 AM,08:25 AM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,HYDERABAD,Daily,SG 232,01:45 PM,03:55 PM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,HYDERABAD,Daily,SG 229,06:10 PM,08:05 PM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,HYDERABAD,Daily,SG 239,09:40 PM,11:40 PM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,KOLKATA,Daily,SG 104,06:45 AM,09:00 AM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,KOLKATA,Daily,SG 613,05:25 PM,07:30 PM,Direct,26-Oct-2014,28-Mar-2015,
DELHI,KOLKATA,Daily,SG 622,08:40 PM,11:00 PM,Direct,26-Oct-2014,28-Mar-2015,
MUMBAI,BENGALURU,Daily,SG 528,08:20 AM,10:05 AM,Direct,26-Oct-2014,28-Mar-2015,
MUMBAI,BENGALURU,Daily,SG 524,03:45 PM,05:20 PM,Direct,26-Oct-2014,28-Mar-2015,
MUMBAI,BENGALURU,Daily,SG 341,05:15 PM,06:55 PM,Direct,26-Oct-2014,28-Mar-2015,
MUMBAI,BENGALURU,Daily,SG 443,07:05 PM,08:45 PM,Direct,26-Oct-2014,28-Mar-2015,
MUMBAI,CHENNAI,Daily,SG 291,06:05 AM,08:00 AM,Direct,26-Oct-2014,28-Mar-2015,
MUMBAI,CHENNAI,Daily,SG 318,04:40 PM,06:40 PM,Direct,26-Oct-2014,28-Mar-2015,
MUMBAI,CHENNAI,Daily,SG 206,08:20 PM,10:30 PM,Direct,26-Oct-2014,28-Mar-2015,
MUMBAI,HYDERABAD,Daily,SG 401,05:20 AM,06:40 AM,Direct,26-Oct-2014,28-Mar-2015,
MUMBAI,HYDERABAD,Daily,SG 407,07:50 PM,09:10 PM,Direct,26-Oct-2014,28-Mar-2015,
MUMBAI,KOLKATA,Daily,SG 895,07:55 AM,10:30 AM,Direct,26-Oct-2014,28-Mar-2015,
MUMBAI,KOLKATA,Daily,SG 528,08:20 AM,01:05 PM,BENGALURU,26-Oct-2014,28-Mar-2015,
MUMBAI,KOLKATA,Daily,SG 817,10:15 AM,12:45 PM,Direct,26-Oct-2014,28-Mar-2015,
MUMBAI,KOLKATA,Daily,SG 524,03:45 PM,08:25 PM,BENGALURU,26-Oct-2014,28-Mar-2015,
MUMBAI,KOLKATA,Daily,SG 804,07:45 PM,10:20 PM,Direct,26-Oct-2014,28-Mar-2015,
PUNE,BENGALURU,Daily,SG 227,07:00 AM,08:30 AM,Direct,26-Oct-2014,28-Mar-2015,
PUNE,BENGALURU,"Monday, Tuesday, Wednesday, Thursday, Friday, Sunday",SG 345,04:45 PM,06:15 PM,Direct,26-Oct-2014,28-Mar-2015,
PUNE,CHENNAI,"Wednesday, Friday, Sunday",SG 219,08:40 PM,10:20 PM,Direct,26-Oct-2014,28-Mar-2015,
PUNE,CHENNAI,"Monday, Tuesday, Thursday, Saturday",SG 359,09:25 PM,10:55 PM,Direct,26-Oct-2014,28-Mar-2015,
PUNE,HYDERABAD,"Monday, Tuesday, Wednesday, Thursday, Friday, Sunday",SG 3016,04:00 PM,05:10 PM,Direct,26-Oct-2014,28-Mar-2015,
